gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000185669	0.008804817	0.16900463	0.27698517	-0.16159643	0.13974889	0.12097428	-0.066298276	-0.036058135	-0.23159017	-0.08838218	0.1427508	0.2410368	-0.18253222	0.08210401	0.35266003	-0.1680355	-0.03372991	0.21705371	0.0028136447	-0.42366228	0.24125963	0.36243898	0.013132237	0.3811709	0.1616545	0.10169615	0.045896314	-0.29070807	0.21604666	-0.02652874	0.18019007	0.0017850576	-0.1384326	0.10951778	-0.017439963	0.032680918	-0.38839257	-0.08739439	0.02850715	-0.10191645	0.004687463	0.27293998	-0.093532205	-0.102319516	-0.08255695	0.072301194	-0.060203653	0.35460985	-0.14331572	-0.14937405	0.10321215	0.2112925	0.09483981	0.038306236	0.029977204	0.3028368	-0.27753928	-0.2686384	-0.061867706	-0.00018068589	-0.033114634	0.23539342	-0.13452592	0.10716694
ENSG00000152749	-0.064032435	0.76479805	0.09094125	0.5174062	-0.015933828	-0.39754906	1.187803	0.6474655	-0.7041948	-0.4990337	-0.539641	-0.6306598	0.03748845	-1.0674366	0.42218184	-0.55493134	-0.49217063	0.12214247	-0.53887403	-0.30698177	0.27040404	-0.6574517	0.44471228	1.3125947	-0.21450934	0.36905676	0.86168337	-0.060391456	-0.5434259	-0.9663361	0.948247	1.4794772	-0.9837022	0.5817923	-0.082374714	0.64045703	0.41400224	0.5574166	-0.49313092	-0.8656326	-0.644935	1.3424782	-0.19166839	0.3731768	-0.3942029	-0.5923467	-0.35166746	1.0457476	1.0790802	0.7146673	1.302298	0.85293496	-1.1597826	-0.24089873	0.84483725	0.7477663	-1.621909	-0.7159165	0.14200447	0.89391387	-0.3111072	0.24264105	1.3850284	0.40686065
ENSG00000102245	-0.08307432	0.1633834	-0.20826806	0.20819576	0.06007366	-0.116265945	-0.079175554	0.016614921	0.26759848	-0.33701026	0.16819733	0.39131272	0.3211465	-0.038398366	0.342041	-0.17833778	-0.95979947	-0.075248435	-0.48662236	-0.5563271	-0.21087103	-0.17512573	-0.02286788	-0.038475912	0.122005515	0.17207333	0.19379249	-0.08088792	0.29121915	0.49540812	0.7150624	-0.26114452	-0.6432958	-0.44516677	0.45041436	-0.20847492	-0.36180988	-0.14447576	0.065485515	0.086790115	-0.60907304	-0.17077625	0.2678602	0.022999845	-0.53984517	0.16557312	-0.8563281	-0.437531	-0.47850153	0.071714684	-0.37244064	-0.0014777957	-0.45728168	-0.16339593	-0.5647974	0.20411181	-0.19146013	-0.08323303	-0.115343556	0.37370166	-0.36698815	0.31310982	-0.8845498	-0.8206376
ENSG00000174953	-0.015455533	-0.036130633	0.048631094	0.017180433	-0.030382631	-0.020798838	-0.059390433	-0.05107031	-0.037559055	0.027857749	0.014503805	0.011169711	-0.013180921	-0.06882031	0.0704827	0.07893305	-0.035345677	0.11092665	-0.10682715	-0.012995505	0.05150432	0.049240723	0.06116478	0.007919102	0.02436503	-0.00878676	-0.03997241	-0.08523088	0.03515078	-0.04827165	-0.03487778	-0.10938517	0.038307875	-0.0015925039	0.06832164	0.0048823906	-0.057155073	-0.03662612	0.064878725	-0.038341142	0.002483747	-0.046742465	0.040755555	0.05383149	0.029820124	0.041231282	-0.011929756	-0.064032584	-0.1331397	-0.0034605325	-0.03568615	-0.059421584	0.11739127	-0.045406148	0.0081410175	-0.0021671886	0.045199554	-0.016712826	-0.06072808	0.05327213	-0.034741342	-0.029711133	-0.023118358	-0.108831376
ENSG00000135625	-0.015314145	-0.026094405	0.08828247	0.04852461	-0.11967874	0.008226048	-0.03600028	0.14159276	0.08427775	0.16482748	0.038652893	-0.007201396	-0.17970043	-0.07426387	0.21910359	-0.14483994	0.09611474	-0.10226032	0.15579939	0.097049594	0.03462392	-0.1396915	-0.091345586	-0.07304015	0.2855869	0.043036416	-0.018652588	-0.018236894	-0.008865364	-0.22138053	-0.16152132	-0.040380273	-0.054174207	-0.17212498	-0.0178181	-0.052816223	0.02572852	0.14198045	0.013336712	0.089699335	0.16095334	0.08138688	-0.21367946	-0.09937091	-0.13825966	-0.112896115	-0.18689223	0.084473506	0.2688445	0.16483411	0.07830823	0.24311928	0.0936498	-0.08973616	0.10186834	0.12862198	-0.14292726	0.05982828	-0.021364769	0.016152319	-0.055461526	0.011703875	-0.007913751	0.08539803
ENSG00000227993	-0.11103422	-0.082143955	0.015893653	0.01293201	-0.06278472	-0.015883185	-0.09825748	-0.030637011	0.037918277	0.044448078	0.009755192	0.075094596	-0.01687771	-0.24286667	0.1352787	0.022652084	0.07542121	-0.028486539	-0.0061173746	-0.11263456	0.09900921	0.11307211	-0.059951045	0.0395044	0.028485987	0.20761743	-0.0021153223	0.010936301	0.05510489	0.123888984	-0.13903564	-0.047445204	-0.07539283	0.17526107	0.025358984	-0.059061486	-0.006452102	-0.014925288	-0.16313475	-0.1266503	-0.028476324	-0.14614215	0.03090538	0.1403567	0.03655243	0.06110944	0.2022915	-0.008949645	0.012057856	-0.12397877	0.034516755	0.079302885	0.08450327	0.012346381	-0.14612359	0.008439398	0.2062729	-0.079482965	-0.07198918	0.057207942	0.04577536	0.055182114	-0.0029536872	0.05203158
ENSG00000168961	0.07177825	-0.083220266	0.011918227	-0.0001356448	-0.10943358	-0.054252774	0.0074276775	0.10730064	0.05113078	0.014160026	-0.048334375	0.10457376	-0.10582693	-0.053334963	0.05133713	-0.07906935	-0.032394115	0.104213424	-0.21356699	0.14347287	-0.014246297	0.1937494	0.043143876	-0.057424475	0.024452992	-0.08751564	-0.028720263	-0.02622418	-0.085378855	-0.11843699	0.03259389	-0.19383936	0.056420192	-0.07051116	-0.06712706	0.07026939	-0.16235468	0.061019506	0.0031496687	0.084105045	0.06814004	0.016657224	-0.017442238	-0.0084342295	-0.04844614	-0.11854512	-0.019113772	-0.0762572	0.047241412	0.017740795	-0.15840566	0.032876547	0.23825547	0.1149142	-0.045588225	-0.040470526	0.09073057	-0.027997246	-0.06689972	0.048254132	-0.101182334	-0.044790514	0.025457293	-0.03504149
ENSG00000145354	-0.054618757	-0.0017808313	-0.0062007	0.118107155	-0.0053238664	-0.077100456	-0.07243498	0.005824321	-0.055555567	-0.15326604	0.048419293	0.041930337	-0.1344267	-0.0071153417	-0.0007556749	-0.15934737	-0.19861777	-0.03619303	-0.035084732	-0.07938567	0.044854347	0.022187797	-0.012148354	0.07421683	-0.06302871	0.010049619	0.023661226	0.028281905	0.28790256	-0.13547102	-0.024275094	0.0073165344	-0.004496621	0.03469535	-0.039047495	0.055258784	0.117496185	0.06366308	-0.09241921	0.082052745	0.01387518	-0.072231434	-0.044876717	0.09526243	0.07208785	-0.07894198	-0.16960494	-0.1393305	0.10683584	0.016278705	0.0031754146	0.018569596	-0.0015184134	-0.0119071035	0.20429604	0.06841083	-0.0030475464	-0.23525026	-0.061263785	-0.02332284	-0.0048594605	-0.0031820033	0.029101398	0.121123485
ENSG00000141127	-0.1636743	-0.22036731	-0.13681495	0.13473569	-0.02209433	0.17212686	0.0028689262	-0.12268355	-0.10728078	-0.12051995	0.14230065	-0.06593245	0.024657901	-0.011014793	0.12921293	-0.039792143	-0.14558911	-0.03927864	-0.009310164	-0.21137564	-0.017346695	0.08480309	0.22270235	0.15659161	0.04298163	-0.19391035	0.41375962	-0.12807295	0.333118	0.1383517	0.046587855	-0.10225874	0.14315367	-0.03163158	-0.066640645	0.10241384	-0.18836188	-0.19522214	-0.07948477	0.21537091	-0.01751072	-0.13918887	-0.13484661	-0.15604174	0.007554816	-0.2172784	-0.28399205	-0.27071846	0.16553517	0.09860334	-0.058056362	-0.11465874	0.026865928	-0.085440084	0.17409013	0.20341207	-0.13204388	-0.079081796	-0.013645681	0.044618286	-0.17863257	0.3064221	-0.04013378	-0.114306115
ENSG00000126787	-0.03734502	0.0323791	-0.07283726	-0.05740657	0.08709053	0.04240501	-0.039360575	0.037912976	-0.09102391	0.016025517	-0.14006805	-0.07015135	0.008883974	-0.09228799	0.14035465	-0.053896137	-0.0016253823	0.047122136	-0.025780898	0.047784396	-0.078152955	-0.022029733	0.102856316	0.057745386	-0.023683459	-0.10887353	0.061233968	-0.11279055	0.0063798856	-0.11588016	-0.1214345	0.013863026	0.0059693437	0.0027962383	0.110521995	-0.005524666	-0.11584764	0.0057598576	-0.09014428	-0.06802797	-0.07076688	0.094035596	0.015231084	0.04442826	0.022956526	-0.008668097	0.020671884	-0.0757389	-0.037434682	-0.05773835	0.055743225	0.052254338	0.0067323055	-0.059372686	0.055858657	-0.010640885	-0.08743949	0.024366232	-0.014533734	-0.049487982	-0.019626204	-0.02819044	0.10690605	0.021767654
