gene	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ENSG00000163283	0.0895635	0.3251526	-0.05813676	-0.106000744	-0.25613913	-0.12095105	0.05628658	-0.2736752	-0.30620873	0.124486804	-0.040509693	0.04796154	-0.09482276	0.23055421	-0.064911954	0.016729016	0.15558338	-0.04478722	-0.08258146	0.09801829	-0.071919754	0.0040539308	-0.20782532	-0.11693467	0.23257668	0.11141798	0.10137833	-0.2531448	0.066025175	-0.31885824	0.18571858	-0.018920131	0.14159855	0.1118217	-0.14541638	0.3709001	0.09539406	0.22713062	-0.18147178	-0.16161926	0.35923964	0.23103794	0.3068206	0.16317412	0.1050445	0.016652744	0.21568272	0.17899044	0.22033176	-0.37394	-0.04825244	0.11887142	-0.20450471	-0.23723616	-0.13191873	-0.19451487	-0.1134777	0.052861195	-0.04554041	0.072596006	0.2185854	-0.035669062	0.12018093	0.16858608
ENSG00000176102	0.12768863	-0.008046954	0.012033044	-0.071637414	-0.10667011	0.074249856	-0.029633442	0.045878634	-0.0994078	-0.020131972	0.00035931868	-0.067919366	0.1371856	0.015269404	0.044932894	-0.08058764	-0.019208958	0.024606269	-0.13281704	-0.12036357	0.12675068	-0.06421873	-0.092998445	-0.08542615	-0.05304356	0.06067866	-0.11755595	0.01111284	0.054644622	-0.04143688	0.020977091	0.092002526	-0.034368917	-0.11108352	-0.05292588	0.14078327	-0.13115971	0.017589577	9.699911e-05	-0.0031983112	0.0060356534	-0.13431285	-0.0054468634	-0.098302625	0.015316203	0.052999415	-0.07897754	-0.105423145	0.005319426	0.06576955	0.025309727	-0.015351675	-0.09734063	0.025040833	-0.014289323	0.15784016	0.003276349	0.017979253	-0.07645377	-0.068639375	-0.084496275	0.15862952	0.05248617	0.055409998
ENSG00000277462	0.270618	-0.26203874	-0.03229353	-0.19779858	0.27561215	0.31328452	-0.11918553	0.20920561	0.009843834	0.14238405	0.13202837	-0.06072708	0.32334977	-0.011568187	0.12797666	-0.11837422	-0.26404634	-0.022737585	0.26275405	0.025107998	-0.034045666	0.029614754	-0.26272932	-0.050074425	-0.11102767	-0.0051312353	0.055784687	0.22560436	0.050500818	-0.0038487948	-0.08507588	-0.20289625	-0.083630845	0.18894702	-0.058945004	-0.07381041	0.046359126	-0.15499446	-0.1605472	0.0846163	-0.009617927	-0.04893231	-0.17232539	-0.050022036	-0.12917832	-0.17222202	0.1609457	0.2523914	0.017423134	-0.1356208	-0.15788865	-0.019761866	-0.1443042	0.15718628	0.018278476	-0.04599929	-0.118787	0.08863471	-0.020922547	-0.2971048	0.02468311	0.22685958	-0.17757724	-0.08962602
ENSG00000176340	0.13533804	-0.037872873	0.13764478	-0.08100253	-0.21710502	0.06761439	-0.034540556	-0.10564454	-0.25582093	0.055669326	-0.16592261	-0.19133672	0.26221344	0.3709661	-0.043688364	-0.063886374	0.15102017	0.11373149	-0.01248382	-0.104018025	-0.09342442	0.23921955	-0.18462381	-0.23651744	-0.18596962	0.12010268	0.041040726	0.10962435	0.08697291	-0.062713966	-0.06102234	-0.18339378	-0.12002009	-0.25929156	-0.009520821	-0.041278105	-0.081395105	0.01816762	0.06601529	0.031048961	0.25659534	0.20696655	0.042699635	0.2829053	0.02884551	0.3094922	-0.27788043	0.21483585	-0.025280278	0.106523335	-0.13346566	0.129724	8.2116574e-05	0.09112761	0.052034184	-0.09468319	0.07753132	0.1836473	-0.10338838	-0.34481144	-0.07701139	0.1751912	-0.2915511	-0.4418894
ENSG00000124570	0.13857093	-0.026853168	0.019230433	-0.34318805	0.28957298	-0.059906848	0.067968	-0.14960705	0.055207852	0.075730614	-0.03607518	0.019890072	-0.15291734	0.22641258	-0.29826048	-0.14040202	0.0558393	-0.3818301	0.026307793	-0.13132441	0.124777585	-0.1803144	0.020166604	0.40741768	-0.12783435	0.15784205	0.10808537	-0.18603829	0.2352798	-0.0057920627	-0.041588455	0.016531967	-0.03806545	-0.20860521	0.08289833	0.018959727	-0.44273946	0.12682642	-0.22185534	-0.1967175	0.05513297	-0.500164	0.3897393	-0.08411696	-0.008352691	0.15610509	0.05700475	0.06494313	-0.008395098	-0.32390833	0.085426964	0.29544693	-0.030832902	-0.17187202	0.28803056	-0.159253	-0.36184856	0.16473342	0.2939818	0.07024543	-0.05937065	-0.1513973	-0.033283427	-0.08405496
ENSG00000275165	-0.025340622	-0.012785875	0.17405482	0.03332126	-0.16086859	0.18790628	0.10267672	0.046367157	0.00097041624	-0.113399655	-0.15401217	-0.047388796	-0.22774225	0.17227332	0.015429958	-0.14872466	0.00331619	0.1506814	-0.14638235	-0.25356117	0.003681994	0.10699373	0.2249455	0.07563271	0.35960647	-0.045665093	0.17008685	-0.07307831	0.316993	0.05185165	0.052644446	-0.017116874	-0.07075806	-0.135675	-0.10921863	-0.13083793	-0.35646862	-0.00484591	0.10259251	0.19303589	0.1287223	0.105899185	0.0951181	0.016997285	0.22164668	0.10105783	-0.15233052	0.18516229	-0.008162454	0.24633886	0.45580342	0.13278377	0.16974033	0.1069369	0.58846885	-0.015920788	0.14350235	-0.2720092	0.10725601	-0.24757442	-0.03680817	0.21373665	-0.034998387	-0.15942611
ENSG00000116337	-0.025052635	0.14453675	-0.117780745	-0.098877825	0.0077626593	-0.03142666	0.117934816	-0.06698795	-0.0071715466	0.025184857	-0.07828103	0.04150481	0.039664302	0.0877855	-0.044625264	-0.03028276	0.0063723065	-0.06809421	-0.04670544	-0.056159586	-0.0490449	-0.05610467	-0.029089903	0.011051089	0.1445541	-0.06473158	-0.07905188	-0.0053809304	-0.0069249067	-0.102627814	0.06539783	-0.05966553	0.10578357	0.0191867	0.059336964	-0.05170131	0.052215192	0.020734083	0.04579097	0.089246966	0.06332323	-0.14736414	0.10621151	-0.044589557	0.06389655	-0.014414257	0.012509525	0.032619193	0.1290809	-0.078660294	0.028317675	-0.00926004	-0.037929177	-0.025082137	0.04079916	-0.07383791	-0.05605524	-0.037552826	-0.02752182	0.038413126	-0.011041681	0.07647635	0.10431669	0.072005324
ENSG00000086102	0.115845166	-0.03643308	0.06662382	-0.104370594	0.12920456	0.13143833	0.0635297	-0.077892676	-0.03234088	0.10317042	-0.07879223	0.03357898	0.113347374	-0.12567241	0.18855813	0.11971879	-0.01974238	-0.12409307	0.004581401	-0.13588029	-0.1035963	0.0017247899	0.06427407	0.04907856	-0.029728258	0.14321715	-0.02801736	-0.06553484	0.13970481	-0.18600501	-0.13239382	0.06762735	-0.11725189	0.105817154	-0.03642892	0.059519257	-0.07660319	-0.08217966	0.001535669	-0.055322394	0.07621312	-0.05549824	0.0665941	0.076240174	0.01362942	-0.03578138	0.099930346	0.011500113	0.055863492	-0.09311799	0.02733096	0.02969585	-0.060974695	-0.06427214	0.10515697	0.0653719	-0.058227804	-0.018994719	-0.08861914	-0.02239184	0.055386007	0.08108848	0.0022030985	0.097455226
ENSG00000197702	0.20917946	0.0058494913	-0.07152594	0.02648478	-0.050167356	0.028511656	0.115816	-0.114991814	-0.041583724	0.12776273	-0.03484454	0.093290105	-0.07549397	-0.06608032	0.047553226	-0.081813335	0.12301319	0.015026745	-0.09879611	-0.1226254	-0.059231758	-0.20170106	0.06961548	0.029406704	0.091528535	-0.12996815	-0.06347367	-0.11138379	-0.13040192	-0.17531215	0.078132965	0.10808245	0.12927498	-0.110706694	-0.07002421	0.17121033	-0.12242593	0.08445009	0.13209397	0.14353709	0.053979423	-0.112313576	0.08367437	-0.0059939977	0.032126658	0.074387535	0.065332785	0.17557089	0.06349383	-0.24722753	0.12666114	-0.07954798	-0.09163073	-0.06802389	-0.034386296	0.020421661	-0.018365778	0.008325475	-0.09642762	0.07597127	-0.041341648	-0.0036454462	-0.034254186	0.12392206
ENSG00000109184	-0.13515317	0.41956666	0.10562919	0.20205706	-0.28201827	-0.2272778	-0.2338358	-0.111425385	-0.27095717	0.02996164	0.06037791	0.08074526	0.13355997	-0.08223794	-0.02053611	-0.06961545	0.053695172	0.030520102	0.04518774	0.080261	-0.054110236	0.023313656	-0.057851538	-0.15871994	-0.15772282	-0.055643372	-0.1641948	-0.15224668	0.0045606922	0.09887707	0.23212911	0.03958347	0.2661117	-0.0889765	-0.013440959	-0.20080636	-0.1396423	-0.20810288	0.065317996	-0.027548298	0.4990571	-0.39630732	0.092688784	0.19230781	-0.017683415	0.07615804	-0.24409622	0.3611937	-0.050828315	0.23579358	0.22693686	-0.060707584	-0.42387795	-0.13915856	0.04025057	0.14999837	0.06427429	0.13486256	-0.026279246	-0.2180742	-0.025268886	-0.15125714	-0.067211196	-0.24503967
