head	relation	tail	head_type	tail_type
ENSG00000118985	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000118985	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000116833	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000116833	involved_in	R-HSA-8939211	Gene	Pathway
ENSG00000116833	annotated_with	GO:0045893	Gene	GO
ENSG00000116833	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000116833	involved_in	R-HSA-9006931	Gene	Pathway
ENSG00000116833	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000116833	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000189043	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000189043	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000189043	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000189043	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000115233	annotated_with	GO:0000165	Gene	GO
ENSG00000115233	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-2454202	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000115233	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000184113	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000184113	annotated_with	GO:0008284	Gene	GO
ENSG00000184113	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000184113	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000184113	annotated_with	GO:0010628	Gene	GO
ENSG00000102753	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000115694	annotated_with	GO:0046777	Gene	GO
ENSG00000115694	annotated_with	GO:0007165	Gene	GO
ENSG00000116128	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000134121	annotated_with	GO:0007165	Gene	GO
ENSG00000198719	annotated_with	GO:0008284	Gene	GO
ENSG00000198719	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000198719	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000198719	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000198719	annotated_with	GO:0008285	Gene	GO
ENSG00000275555	annotated_with	GO:0008284	Gene	GO
ENSG00000275555	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000275555	involved_in	R-HSA-5663202	Gene	Pathway
